seed,country,branch,n,n_positive,threshold,precision,recall,f1,pr_auc,roc_auc,tn,fp,fn,tp
272,Libya,nested_champion,51,15,0.6356276277355034,0.6666666666666666,0.9333333333333333,0.7777777777777778,0.9250752019401904,0.9592592592592593,29,7,1,14
272,Nigeria,compact_tabular,49,16,0.3356966683985786,1.0,0.5625,0.72,0.9144059065934065,0.9242424242424243,33,0,7,9
272,Nigeria,all77_tabular,49,16,0.4558249483378754,1.0,0.5625,0.72,0.9211512445887446,0.9375,33,0,7,9
272,Nigeria,handcrafted_image,49,16,0.1303435754153173,0.7857142857142857,0.6875,0.7333333333333333,0.9223571825061763,0.9602272727272727,30,3,5,11
272,Nigeria,cnn_only,49,16,0.7192722681050803,1.0,0.1875,0.3157894736842105,0.8669054036241536,0.9090909090909091,33,0,13,3
272,Nigeria,cv_multispectral,49,16,0.24437273352019617,0.7857142857142857,0.6875,0.7333333333333333,0.8437631675707333,0.9337121212121211,30,3,5,11
272,Nigeria,guarded_cv_tabular,49,16,0.5090754443883792,0.9090909090909091,0.625,0.7407407407407407,0.9533087929227635,0.9753787878787878,32,1,6,10
272,Nigeria,nested_champion,49,16,0.5090754443883792,0.9090909090909091,0.625,0.7407407407407407,0.9533087929227635,0.9753787878787878,32,1,6,10
273,Algeria,compact_tabular,48,15,0.42071809083742895,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8303235725203688,0.898989898989899,28,5,5,10
273,Algeria,all77_tabular,48,15,0.38915267491612565,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.843429360494578,0.9050505050505051,28,5,5,10
273,Algeria,handcrafted_image,48,15,0.29131239348095034,0.5909090909090909,0.8666666666666667,0.7027027027027027,0.9041125541125541,0.9212121212121213,24,9,2,13
273,Algeria,cnn_only,48,15,0.3675508039770767,0.45454545454545453,1.0,0.625,0.6833076581973017,0.8484848484848485,15,18,0,15
273,Algeria,cv_multispectral,48,15,0.29175047540910165,0.5,0.8666666666666667,0.6341463414634146,0.7774627224627224,0.8686868686868687,20,13,2,13
273,Algeria,guarded_cv_tabular,48,15,0.6291157948755031,0.7692307692307693,0.6666666666666666,0.7142857142857143,0.8281058707374497,0.896969696969697,30,3,5,10
273,Algeria,nested_champion,48,15,0.6291157948755031,0.7692307692307693,0.6666666666666666,0.7142857142857143,0.8281058707374497,0.896969696969697,30,3,5,10
273,Angola,compact_tabular,50,6,0.421660626791302,1.0,0.8333333333333334,0.9090909090909091,0.9583333333333333,0.9924242424242424,44,0,1,5
273,Angola,all77_tabular,50,6,0.39695679203956563,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8773809523809524,0.9810606060606061,42,2,2,4
273,Angola,handcrafted_image,50,6,0.4268504617204641,0.8,0.6666666666666666,0.7272727272727273,0.8626373626373626,0.9659090909090909,43,1,2,4
273,Angola,cnn_only,50,6,0.17465874368300033,0.35294117647058826,1.0,0.5217391304347826,0.8259259259259258,0.9659090909090908,33,11,0,6
273,Angola,cv_multispectral,50,6,0.16719820286776704,0.2857142857142857,1.0,0.4444444444444444,0.8634920634920634,0.9772727272727273,29,15,0,6
273,Angola,guarded_cv_tabular,50,6,0.5893001115620857,0.8571428571428571,1.0,0.9230769230769231,1.0,1.0,43,1,0,6
273,Angola,nested_champion,50,6,0.39695679203956563,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8773809523809524,0.9810606060606061,42,2,2,4
273,Indonesia,compact_tabular,48,17,0.5031181153541876,1.0,0.5294117647058824,0.6923076923076923,0.9522406480322625,0.9373814041745732,31,0,8,9
273,Indonesia,all77_tabular,48,17,0.2780146980570179,0.8,0.9411764705882353,0.8648648648648649,0.9359717416378316,0.9259962049335863,27,4,1,16
273,Indonesia,handcrafted_image,48,17,0.13522949243870114,0.38095238095238093,0.9411764705882353,0.5423728813559322,0.7808035313885267,0.8197343453510437,5,26,1,16
273,Indonesia,cnn_only,48,17,0.6245393148873124,0.5416666666666666,0.7647058823529411,0.6341463414634146,0.8207639114843817,0.8349146110056925,20,11,4,13
273,Indonesia,cv_multispectral,48,17,0.5724521802741998,0.6956521739130435,0.9411764705882353,0.8,0.8871125887887796,0.9165085388994308,24,7,1,16
273,Indonesia,guarded_cv_tabular,48,17,0.6200002708925119,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.9508634992458521,0.9620493358633777,28,3,2,15
273,Indonesia,nested_champion,48,17,0.6200002708925119,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.9508634992458521,0.9620493358633777,28,3,2,15
273,Iraq,compact_tabular,48,18,0.4021141788951602,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.8777192517502594,0.8481481481481482,29,1,4,14
273,Iraq,all77_tabular,48,18,0.3031421570968738,0.875,0.7777777777777778,0.8235294117647058,0.8636931781668624,0.8388888888888889,28,2,4,14
273,Iraq,handcrafted_image,48,18,0.41720073728295937,1.0,0.3333333333333333,0.5,0.6889030109068093,0.7092592592592593,30,0,12,6
273,Iraq,cnn_only,48,18,0.4288740571951356,0.5789473684210527,0.6111111111111112,0.5945945945945946,0.7414562460174607,0.7833333333333333,22,8,7,11
273,Iraq,cv_multispectral,48,18,0.5153646256228475,0.6470588235294118,0.6111111111111112,0.6285714285714286,0.7850378495493437,0.837037037037037,24,6,7,11
273,Iraq,guarded_cv_tabular,48,18,0.5721348860217443,0.9375,0.8333333333333334,0.8823529411764706,0.9173107402274068,0.9092592592592592,29,1,3,15
273,Iraq,nested_champion,48,18,0.5721348860217443,0.9375,0.8333333333333334,0.8823529411764706,0.9173107402274068,0.9092592592592592,29,1,3,15
273,Libya,compact_tabular,51,15,0.43270491635999764,0.6842105263157895,0.8666666666666667,0.7647058823529411,0.9098488965155631,0.9277777777777778,30,6,2,13
273,Libya,all77_tabular,51,15,0.27485693090847146,0.5384615384615384,0.9333333333333333,0.6829268292682927,0.9209502262443439,0.9444444444444445,24,12,1,14
273,Libya,handcrafted_image,51,15,0.44656789731307084,0.5,0.6666666666666666,0.5714285714285714,0.6420806646245242,0.8222222222222222,26,10,5,10
273,Libya,cnn_only,51,15,0.37362394475731486,0.3488372093023256,1.0,0.5172413793103449,0.5364130247308782,0.7796296296296297,8,28,0,15
273,Libya,cv_multispectral,51,15,0.3916474452347221,0.38461538461538464,1.0,0.5555555555555556,0.7136076694697384,0.8796296296296295,12,24,0,15
273,Libya,guarded_cv_tabular,51,15,0.6169680712805169,0.625,1.0,0.7692307692307693,0.9228529797179683,0.9574074074074075,27,9,0,15
273,Libya,nested_champion,51,15,0.6169680712805169,0.625,1.0,0.7692307692307693,0.9228529797179683,0.9574074074074075,27,9,0,15
