country,branch,review_fraction,rank,source_id,is_eog_flare,score
Indonesia,compact_tabular,0.3,4,Indonesia_68656,1,0.9070156840594689
Indonesia,compact_tabular,0.3,5,Indonesia_59933,1,0.9031635819247162
Indonesia,compact_tabular,0.3,6,Indonesia_59042,1,0.852108413578699
Indonesia,compact_tabular,0.3,7,Indonesia_48059,1,0.8143548505163046
Indonesia,compact_tabular,0.3,8,Indonesia_63195,1,0.676125106046988
Indonesia,compact_tabular,0.3,9,Indonesia_58467,1,0.5599821440948106
Indonesia,compact_tabular,0.3,10,Indonesia_181254,1,0.4909660101326348
Indonesia,compact_tabular,0.3,11,Indonesia_165728,1,0.47042155367575905
Indonesia,compact_tabular,0.3,12,Indonesia_155591,1,0.4649046406565908
Indonesia,compact_tabular,0.3,13,Indonesia_45064,1,0.4564952095858445
Indonesia,compact_tabular,0.3,14,Indonesia_61999,1,0.33886374539666947
Indonesia,compact_tabular,0.3,15,Indonesia_60731,1,0.32291890370583587
Indonesia,guarded_cv_tabular,0.1,1,Indonesia_58411,1,0.9263700482907661
Indonesia,guarded_cv_tabular,0.1,2,Indonesia_58413,1,0.9206941746992392
Indonesia,guarded_cv_tabular,0.1,3,Indonesia_68656,1,0.9141118753871939
Indonesia,guarded_cv_tabular,0.1,4,Indonesia_63239,1,0.9088216488263416
Indonesia,guarded_cv_tabular,0.1,5,Indonesia_59933,1,0.9063142159361787
Indonesia,guarded_cv_tabular,0.2,1,Indonesia_58411,1,0.9263700482907661
Indonesia,guarded_cv_tabular,0.2,2,Indonesia_58413,1,0.9206941746992392
Indonesia,guarded_cv_tabular,0.2,3,Indonesia_68656,1,0.9141118753871939
Indonesia,guarded_cv_tabular,0.2,4,Indonesia_63239,1,0.9088216488263416
Indonesia,guarded_cv_tabular,0.2,5,Indonesia_59933,1,0.9063142159361787
Indonesia,guarded_cv_tabular,0.2,6,Indonesia_59042,1,0.8967524635410985
Indonesia,guarded_cv_tabular,0.2,7,Indonesia_48059,1,0.8555569208277928
Indonesia,guarded_cv_tabular,0.2,8,Indonesia_63195,1,0.8469472405539907
Indonesia,guarded_cv_tabular,0.2,9,Indonesia_58467,1,0.7911733812788976
Indonesia,guarded_cv_tabular,0.2,10,Indonesia_165728,1,0.785663175171399
Indonesia,guarded_cv_tabular,0.3,1,Indonesia_58411,1,0.9263700482907661
Indonesia,guarded_cv_tabular,0.3,2,Indonesia_58413,1,0.9206941746992392
Indonesia,guarded_cv_tabular,0.3,3,Indonesia_68656,1,0.9141118753871939
Indonesia,guarded_cv_tabular,0.3,4,Indonesia_63239,1,0.9088216488263416
Indonesia,guarded_cv_tabular,0.3,5,Indonesia_59933,1,0.9063142159361787
Indonesia,guarded_cv_tabular,0.3,6,Indonesia_59042,1,0.8967524635410985
Indonesia,guarded_cv_tabular,0.3,7,Indonesia_48059,1,0.8555569208277928
Indonesia,guarded_cv_tabular,0.3,8,Indonesia_63195,1,0.8469472405539907
Indonesia,guarded_cv_tabular,0.3,9,Indonesia_58467,1,0.7911733812788976
Indonesia,guarded_cv_tabular,0.3,10,Indonesia_165728,1,0.785663175171399
Indonesia,guarded_cv_tabular,0.3,11,Indonesia_155591,1,0.7614006527297302
Indonesia,guarded_cv_tabular,0.3,12,Indonesia_60731,1,0.7597370308384336
Indonesia,guarded_cv_tabular,0.3,13,Indonesia_181254,1,0.7593043740497216
Indonesia,guarded_cv_tabular,0.3,14,Indonesia_45522,0,0.7194188472296581
Indonesia,guarded_cv_tabular,0.3,15,Indonesia_45064,1,0.7152079872380761
Indonesia,all77_tabular,0.1,1,Indonesia_58411,1,0.9424085867555734
Indonesia,all77_tabular,0.1,2,Indonesia_58413,1,0.9300108457042787
Indonesia,all77_tabular,0.1,3,Indonesia_63239,1,0.929891505318731
Indonesia,all77_tabular,0.1,4,Indonesia_68656,1,0.9210019076735163
Indonesia,all77_tabular,0.1,5,Indonesia_59933,1,0.8631548496614011
Indonesia,all77_tabular,0.2,1,Indonesia_58411,1,0.9424085867555734
Indonesia,all77_tabular,0.2,2,Indonesia_58413,1,0.9300108457042787
Indonesia,all77_tabular,0.2,3,Indonesia_63239,1,0.929891505318731
Indonesia,all77_tabular,0.2,4,Indonesia_68656,1,0.9210019076735163
Indonesia,all77_tabular,0.2,5,Indonesia_59933,1,0.8631548496614011
Indonesia,all77_tabular,0.2,6,Indonesia_59042,1,0.8439838140015777
Indonesia,all77_tabular,0.2,7,Indonesia_48059,1,0.8200238363439974
Indonesia,all77_tabular,0.2,8,Indonesia_63195,1,0.6868445401473662
Indonesia,all77_tabular,0.2,9,Indonesia_45064,1,0.6355505985995783
Indonesia,all77_tabular,0.2,10,Indonesia_165728,1,0.6164084481816873
Indonesia,all77_tabular,0.3,1,Indonesia_58411,1,0.9424085867555734
Indonesia,all77_tabular,0.3,2,Indonesia_58413,1,0.9300108457042787
Indonesia,all77_tabular,0.3,3,Indonesia_63239,1,0.929891505318731
Indonesia,all77_tabular,0.3,4,Indonesia_68656,1,0.9210019076735163
Indonesia,all77_tabular,0.3,5,Indonesia_59933,1,0.8631548496614011
Indonesia,all77_tabular,0.3,6,Indonesia_59042,1,0.8439838140015777
Indonesia,all77_tabular,0.3,7,Indonesia_48059,1,0.8200238363439974
Indonesia,all77_tabular,0.3,8,Indonesia_63195,1,0.6868445401473662
Indonesia,all77_tabular,0.3,9,Indonesia_45064,1,0.6355505985995783
Indonesia,all77_tabular,0.3,10,Indonesia_165728,1,0.6164084481816873
Indonesia,all77_tabular,0.3,11,Indonesia_181254,1,0.5855522545249198
Indonesia,all77_tabular,0.3,12,Indonesia_155591,1,0.5698303173557465
Indonesia,all77_tabular,0.3,13,Indonesia_58467,1,0.5368969654913996
Indonesia,all77_tabular,0.3,14,Indonesia_170642,0,0.410577900435801
Indonesia,all77_tabular,0.3,15,Indonesia_45522,0,0.38469359885115423
Iraq,compact_tabular,0.1,1,Iraq_311,1,0.9178790714296531
Iraq,compact_tabular,0.1,2,Iraq_13763,1,0.8695024112505907
Iraq,compact_tabular,0.1,3,Iraq_397,1,0.8092549612616425
Iraq,compact_tabular,0.1,4,Iraq_356,1,0.80738656518742
Iraq,compact_tabular,0.1,5,Iraq_19128,1,0.8018073145412785
