seed,held_out_country,branch,inner_macro_ap,inner_macro_f1,threshold,fusion_alpha,inner_selected_branch,branch_selection_diagnostics,alpha_diagnostics
272,Angola,guarded_cv_tabular,0.8921409418548599,0.7196899874319229,0.5996438694768309,0.7,,,"[{""alpha"": 0.0, ""macro_ap"": 0.8544242823246704, ""gain"": 0.0, ""improved_countries"": 0, ""worst_delta"": 0.0, ""eligible"": true}, {""alpha"": 0.15, ""macro_ap"": 0.8647063587845156, ""gain"": 0.010282076459845246, ""improved_countries"": 5, ""worst_delta"": 0.00034652879480467913, ""eligible"": true}, {""alpha"": 0.3, ""macro_ap"": 0.87676502950123, ""gain"": 0.02234074717655965, ""improved_countries"": 5, ""worst_delta"": 0.0068815766986498605, ""eligible"": true}, {""alpha"": 0.5, ""macro_ap"": 0.8855394931711483, ""gain"": 0.031115210846477948, ""improved_countries"": 4, ""worst_delta"": -0.003126927214960551, ""eligible"": true}, {""alpha"": 0.7, ""macro_ap"": 0.8921409418548599, ""gain"": 0.037716659530189545, ""improved_countries"": 4, ""worst_delta"": -0.015826333729246023, ""eligible"": true}]"
272,Angola,nested_champion,0.8781352974310284,0.814256605463502,0.3839802859609237,,all77_tabular,"[{""branch"": ""compact_tabular"", ""macro_ap"": 0.8544242823246704, ""macro_ap_gain"": 0.0, ""macro_f1"": 0.7664285714285713, ""macro_f1_delta"": 0.0, ""improved_countries"": 0, ""worst_country_delta"": 0.0, ""eligible"": true}, {""branch"": ""all77_tabular"", ""macro_ap"": 0.8781352974310284, ""macro_ap_gain"": 0.02371101510635798, ""macro_f1"": 0.814256605463502, ""macro_f1_delta"": 0.04782803403493063, ""improved_countries"": 4, ""worst_country_delta"": -0.006635924318851183, ""eligible"": true}, {""branch"": ""guarded_cv_tabular"", ""macro_ap"": 0.8921409418548599, ""macro_ap_gain"": 0.037716659530189545, ""macro_f1"": 0.7196899874319229, ""macro_f1_delta"": -0.04673858399664843, ""improved_countries"": 4, ""worst_country_delta"": -0.015826333729246023, ""eligible"": false}]",
272,Indonesia,compact_tabular,0.8497870282326895,0.7160752688172043,0.5105571822744435,,,,
272,Indonesia,all77_tabular,0.8600760531951707,0.7138800518439967,0.2627045949236709,,,,
272,Indonesia,handcrafted_image,0.6971917542838185,0.5513419740777667,0.1288452408226737,,,,
272,Indonesia,cnn_only,0.6957889081985498,0.6255172570700521,0.5635262580893734,,,,
272,Indonesia,cv_multispectral,0.7308115526086114,0.6695331655483459,0.657882517703734,,,,
272,Indonesia,guarded_cv_tabular,0.9045199401732836,0.7277635327635328,0.6533414101332545,0.5,,,"[{""alpha"": 0.0, ""macro_ap"": 0.8497870282326895, ""gain"": 0.0, ""improved_countries"": 0, ""worst_delta"": 0.0, ""eligible"": true}, {""alpha"": 0.15, ""macro_ap"": 0.866580683312141, ""gain"": 0.01679365507945152, ""improved_countries"": 4, ""worst_delta"": -0.003842775581905933, ""eligible"": true}, {""alpha"": 0.3, ""macro_ap"": 0.8910659425788108, ""gain"": 0.0412789143461213, ""improved_countries"": 5, ""worst_delta"": 0.002902142660207163, ""eligible"": true}, {""alpha"": 0.5, ""macro_ap"": 0.9045199401732835, ""gain"": 0.05473291194059404, ""improved_countries"": 4, ""worst_delta"": -0.010167702667702616, ""eligible"": true}, {""alpha"": 0.7, ""macro_ap"": 0.8872719555437829, ""gain"": 0.03748492731109343, ""improved_countries"": 4, ""worst_delta"": -0.016434940109243845, ""eligible"": true}]"
272,Indonesia,nested_champion,0.9045199401732836,0.7277635327635328,0.6533414101332545,,guarded_cv_tabular,"[{""branch"": ""compact_tabular"", ""macro_ap"": 0.8497870282326895, ""macro_ap_gain"": 0.0, ""macro_f1"": 0.7160752688172043, ""macro_f1_delta"": 0.0, ""improved_countries"": 0, ""worst_country_delta"": 0.0, ""eligible"": true}, {""branch"": ""all77_tabular"", ""macro_ap"": 0.8600760531951707, ""macro_ap_gain"": 0.010289024962481186, ""macro_f1"": 0.7138800518439967, ""macro_f1_delta"": -0.00219521697320757, ""improved_countries"": 4, ""worst_country_delta"": -0.024729437229437212, ""eligible"": true}, {""branch"": ""guarded_cv_tabular"", ""macro_ap"": 0.9045199401732835, ""macro_ap_gain"": 0.05473291194059404, ""macro_f1"": 0.7277635327635328, ""macro_f1_delta"": 0.011688263946328492, ""improved_countries"": 4, ""worst_country_delta"": -0.010167702667702616, ""eligible"": true}]",
272,Iraq,compact_tabular,0.8736710967195128,0.7822209188660803,0.4132129100385852,,,,
272,Iraq,all77_tabular,0.8821614572056266,0.7644707170224412,0.3581739964673836,,,,
272,Iraq,handcrafted_image,0.8003680720170685,0.6894158981115502,0.3616922209700071,,,,
272,Iraq,cnn_only,0.7393862432706066,0.6889010989010989,0.414887582670379,,,,
272,Iraq,cv_multispectral,0.7991778497923936,0.7090647878207587,0.7206670962744626,,,,
