source_id,country,status,full_clear_fraction,full_worldcover_fraction,full_negative_fraction,full_below_minus005_fraction,full_ndvi_valid_fraction,full_ndbi_valid_fraction,full_mndwi_valid_fraction,center_clear_fraction,center_worldcover_fraction,center_negative_fraction,center_below_minus005_fraction,center_ndvi_valid_fraction,center_ndbi_valid_fraction,center_mndwi_valid_fraction,review_reflectance_tail
Libya_741,Libya,ok,0.999375,1.0,0.0004419428809672712,0.0,0.9995747342088805,0.9995747342088805,0.9993245778611632,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Nigeria_237877,Nigeria,ok,0.9999,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Algeria_8592,Algeria,ok,0.9915,1.0,0.0,0.0,1.0,1.0,1.0,0.8732,1.0,0.0,0.0,1.0,1.0,1.0,False
Angola_923440,Angola,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Indonesia_122872,Indonesia,failed,,,,,,,,,,,,,,,
Iraq_34382,Iraq,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Libya_783,Libya,pending,,,,,,,,,,,,,,,
Nigeria_211310,Nigeria,pending,,,,,,,,,,,,,,,
Algeria_12997,Algeria,ok,0.967375,1.0,0.00033165352974113795,0.0,1.0,1.0,1.0,0.9568,1.0,0.0,0.0,1.0,1.0,1.0,False
Angola_327952,Angola,pending,,,,,,,,,,,,,,,
Indonesia_31,Indonesia,pending,,,,,,,,,,,,,,,
Iraq_16707,Iraq,pending,,,,,,,,,,,,,,,
Libya_2851,Libya,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Nigeria_410648,Nigeria,pending,,,,,,,,,,,,,,,
Algeria_3346,Algeria,pending,,,,,,,,,,,,,,,
Angola_394246,Angola,pending,,,,,,,,,,,,,,,
Indonesia_124542,Indonesia,pending,,,,,,,,,,,,,,,
Iraq_5551,Iraq,pending,,,,,,,,,,,,,,,
Libya_1222,Libya,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Nigeria_468340,Nigeria,ok,0.993675,1.0,0.10817168591340227,0.0,1.0,1.0,1.0,0.9952,1.0,0.036843515541264735,0.0,1.0,1.0,1.0,False
Algeria_11448,Algeria,pending,,,,,,,,,,,,,,,
Angola_304077,Angola,pending,,,,,,,,,,,,,,,
Indonesia_52236,Indonesia,pending,,,,,,,,,,,,,,,
