source_id,country,chip_id,status,chip_file,crs,clear_fraction,center_clear_fraction,worldcover_valid_fraction,scene_id,scene_datetime,requested_lon,requested_lat,reused_from,reflectance_p01,reflectance_p99,error
Algeria_13714,Algeria,55b940100469560082df,pending,,,,,,,,,,,,,
Angola_496757,Angola,3d7d7a6246bad0d95e76,pending,,,,,,,,,,,,,
Indonesia_115530,Indonesia,b24ed98b96adc641ec66,pending,,,,,,,,,,,,,
Iraq_28437,Iraq,38f5d8afa57c81669ee1,pending,,,,,,,,,,,,,
Libya_715,Libya,b6f034f84ae1f0ad8366,pending,,,,,,,,,,,,,
Nigeria_312811,Nigeria,e4514f58806866f9f5a9,pending,,,,,,,,,,,,,
Algeria_3109,Algeria,f21717406c3df2902b57,pending,,,,,,,,,,,,,
Angola_383591,Angola,741789978154db3010e3,pending,,,,,,,,,,,,,
Indonesia_60319,Indonesia,7d7addd4948c121503d5,pending,,,,,,,,,,,,,
Iraq_33406,Iraq,c19609e492349afc3b80,pending,,,,,,,,,,,,,
Libya_1770,Libya,f44154d21a7d3f0acb77,pending,,,,,,,,,,,,,
Nigeria_68077,Nigeria,3930e18581088049ef68,pending,,,,,,,,,,,,,
Algeria_12460,Algeria,4953104cdf0321138d37,pending,,,,,,,,,,,,,
Angola_949154,Angola,a70d1f6ff8604ebdd88f,ok,a70d1f6ff8604ebdd88f.npz,EPSG:32733,1.0,1.0,1.0,S2B_T33LVE_20230914T091733_L2A,2023-09-14T09:24:32.505000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.06580633670091629,0.41071274876594543,
Indonesia_155591,Indonesia,bf94a8d7a56facda1ea1,ok,bf94a8d7a56facda1ea1.npz,EPSG:32647,0.9987,0.9904,1.0,S2A_T47NQB_20220319T033600_L2A,2022-03-19T03:47:54.657000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.016779709607362747,0.3936328887939453,
Iraq_31970,Iraq,be01112e779dec68e367,pending,,,,,,,,,,,,,
Libya_638,Libya,d2f145f3c614cdad3034,pending,,,,,,,,,,,,,
Nigeria_170876,Nigeria,0e1f59a6e80534bd719e,pending,,,,,,,,,,,,,
Algeria_10090,Algeria,8f5ca9836e153dbde99b,pending,,,,,,,,,,,,,
Angola_607537,Angola,5254720a8d8060a03358,ok,5254720a8d8060a03358.npz,EPSG:32733,1.0,1.0,1.0,S2B_T33LUK_20240723T092452_L2A,2024-07-23T09:33:18.298000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.026378294453024864,0.24735507369041443,
Indonesia_58809,Indonesia,f407391f26707cee2a58,pending,,,,,,,,,,,,,
Iraq_1231,Iraq,3b658d673d1804b9b49d,pending,,,,,,,,,,,,,
Libya_3039,Libya,6c80d54755a9ad69262e,pending,,,,,,,,,,,,,
Nigeria_296628,Nigeria,e2c2711aaeb220e4c757,pending,,,,,,,,,,,,,
Algeria_7538,Algeria,932d01c28e696ca2f675,pending,,,,,,,,,,,,,
Angola_640099,Angola,0ecd89e746c42af24519,pending,,,,,,,,,,,,,
Indonesia_114135,Indonesia,e0bb70c0c0b61f1b43d9,pending,,,,,,,,,,,,,
Iraq_12327,Iraq,8f7425737a6bba3522d2,ok,8f7425737a6bba3522d2.npz,EPSG:32638,1.0,1.0,1.0,S2B_T38SME_20240828T075111_L2A,2024-08-28T08:00:00.953000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.11851464211940765,0.47645360231399536,
Libya_394,Libya,dba3c742dbc731caa0d1,pending,,,,,,,,,,,,,
Nigeria_369623,Nigeria,507ce1b90f134c70443e,pending,,,,,,,,,,,,,
Algeria_4710,Algeria,65f46558ccdacedd0688,pending,,,,,,,,,,,,,
Angola_814403,Angola,c62ba6626ad604315fdb,ok,c62ba6626ad604315fdb.npz,EPSG:32734,0.9974,1.0,1.0,S2A_T33LZH_20230916T090156_L2A,2023-09-16T09:13:40.903000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.029101334512233734,0.2754831612110138,
Indonesia_52306,Indonesia,082a85c14c4fdf6ce7e0,pending,,,,,,,,,,,,,
Iraq_13539,Iraq,7e9f5ac33fe241d3428b,pending,,,,,,,,,,,,,
