experiment,n,n_pos,thr,precision,recall,f1,pr_auc,roc_auc,mcc,brier,tn,fp,fn,tp,train_s,infer_s,country_alpha,fragment_balance,n_features,threshold_exact,threshold_policy,macro_country_f1,worst_country_f1,macro_country_pr_auc,pooled_best_threshold,pooled_best_f1,macro_site_recall_all,held_out_country,selected,inner_seed
sqrt_country_site,1450597,3130,0.4655,0.7791411042944786,0.5274760383386582,0.629072204229377,0.5992905701601599,0.9736110635361733,0.6404592786944514,0.0011722957604919997,1446999,468,1479,1651,160.45,28.215,0.5,True,45,0.46552151338564,maximize macro country F1 on grouped OOF,0.5694162362458348,0.33962264150943394,0.5364122287709225,0.35404476250169115,0.6334741870292119,0.43331228336260563,Indonesia,False,12031
equal_country_site,1450597,3130,0.4495,0.7531322505800464,0.5185303514376997,0.6141911069063387,0.5821406303760153,0.9641241069772185,0.6242643784160579,0.0012241187091974264,1446935,532,1507,1623,158.0,27.922,1.0,True,45,0.4495387941879664,maximize macro country F1 on grouped OOF,0.5291896977906716,0.19047619047619047,0.5116869367403609,0.3269584562338267,0.6169601149838304,0.4217508887902753,Indonesia,False,12031
unweighted,1603557,2765,0.3452,0.703622392974753,0.46365280289330923,0.5589710050141705,0.5222000249297502,0.9676914380365443,0.5705875649301936,0.0010734800027868859,1600252,540,1483,1282,182.34,31.022,0.0,False,45,0.34524851337988754,maximize macro country F1 on grouped OOF,0.4991465543023401,0.2922636103151863,0.46249207886104865,0.24206378233758416,0.5659531090723752,0.37306045412648114,Iraq,True,13031
site_balanced,1603557,2765,0.2596,0.6541062801932367,0.48969258589511755,0.5600827300930713,0.5152314950004798,0.967271293386085,0.5653205952933608,0.0010821870095304182,1600076,716,1411,1354,185.99,31.898,0.0,True,45,0.2595926569299998,maximize macro country F1 on grouped OOF,0.49353850257668963,0.2827763496143959,0.44580924487775897,0.3024877778167924,0.5610687022900763,0.38848086458699294,Iraq,False,13031
sqrt_country_site,1603557,2765,0.2741,0.6389822371579452,0.481374321880651,0.5490924092409241,0.5147436570462819,0.9666484285577012,0.5539484218193482,0.0010929195342685675,1600040,752,1434,1331,178.1,30.744,0.5,True,45,0.27413591127502146,maximize macro country F1 on grouped OOF,0.46903795396237924,0.2608695652173913,0.4312105585333768,0.21102224991795182,0.5501082890332741,0.3759109239326694,Iraq,False,13031
equal_country_site,1603557,2765,0.316,0.6368631368631369,0.46112115732368897,0.5349276274386406,0.4968841503135165,0.9593679232306228,0.5412515640479467,0.0011301503050742284,1600065,727,1490,1275,181.22,31.505,1.0,True,45,0.3160115754709512,maximize macro country F1 on grouped OOF,0.440999694423223,0.18947368421052632,0.4065604916982002,0.3025024061058768,0.5352171202991897,0.3619269046033976,Iraq,False,13031
unweighted,1631459,2960,0.2454,0.6473367697594502,0.5091216216216217,0.5699697428139183,0.5189543554796312,0.9646239817745951,0.5734048876089906,0.001124288659633341,1627678,821,1453,1507,187.02,31.757,0.0,False,45,0.24535890271115038,maximize macro country F1 on grouped OOF,0.4952774105298674,0.29508196721311475,0.42833557020789365,0.2378186422623169,0.5715360030080842,0.3689082851491564,Libya,True,14031
site_balanced,1631459,2960,0.2424,0.6440311418685121,0.5030405405405406,0.5648710166919575,0.508557783598246,0.9640127231114812,0.5685020186708508,0.0011323362706760595,1627676,823,1471,1489,188.26,32.138,0.0,True,45,0.24236252448068582,maximize macro country F1 on grouped OOF,0.4861022326438603,0.2952503209242619,0.4232706709574045,0.22935797679445197,0.5667042465238632,0.3604076892722824,Libya,False,14031
sqrt_country_site,1631459,2960,0.2708,0.6458049886621315,0.4810810810810811,0.5514036786060019,0.5152641845869983,0.9628980173012247,0.5567061630666821,0.001158947919997439,1627718,781,1536,1424,180.83,31.445,0.5,True,45,0.2707947867740581,maximize macro country F1 on grouped OOF,0.46546087540361647,0.24345549738219896,0.41331293620180354,0.2707947867740581,0.5514036786060019,0.35868917861859695,Libya,False,14031
equal_country_site,1631459,2960,0.3526,0.6835699797160243,0.4554054054054054,0.5466342254663422,0.515310045340803,0.9555947360903375,0.5573054797305532,0.001152632513687083,1627875,624,1612,1348,183.81,33.045,1.0,True,45,0.35259801549472214,maximize macro country F1 on grouped OOF,0.45499788985398293,0.24514200298953662,0.4116300639971643,0.3503980416420517,0.5478454379931217,0.33081212270879523,Libya,False,14031
site_balanced,1197268,2734,0.2797,0.7046608214120904,0.5585223116313094,0.6231381350744746,0.603691861276246,0.9829450319455547,0.6266001196753113,0.0012768868587811572,1193894,640,1207,1527,139.29,23.909,0.0,True,45,0.27972300778885456,maximize macro country F1 on grouped OOF,0.5075379094604471,0.2,0.4893688304439811,0.27972300778885456,0.6231381350744746,0.419937767777678,Nigeria,True,15031
unweighted,1197268,2734,0.1793,0.6260568793235972,0.5958302852962692,0.6105697151424287,0.6035121722819015,0.9826228037106974,0.6098879747490638,0.0012778749976704795,1193561,973,1105,1629,135.91,23.738,0.0,False,45,0.1793248813167641,maximize macro country F1 on grouped OOF,0.5064624038636667,0.20588235294117646,0.4897854824753091,0.2734213604930073,0.6201488035391112,0.4401314470194819,Nigeria,False,15031
sqrt_country_site,1197268,2734,0.423,0.7527617043661231,0.5234089246525238,0.6174757281553398,0.6130236350384842,0.9812792567021592,0.6270055061238058,0.0012718394931274927,1194064,470,1303,1431,130.75,22.957,0.5,True,45,0.42296940039387443,maximize macro country F1 on grouped OOF,0.49554868758498416,0.18604651162790697,0.48744663690310597,0.3413867863578645,0.6182650301643438,0.39452257024425386,Nigeria,False,15031
equal_country_site,1197268,2734,0.2465,0.6249518675394686,0.5936356986100951,0.6088913899831176,0.6045294157988246,0.974335854633755,0.6082210648522831,0.0012885717887302897,1193560,974,1111,1623,131.69,22.894,1.0,True,45,0.24646448517836322,maximize macro country F1 on grouped OOF,0.4837823533041253,0.06578947368421052,0.47588817126376864,0.42658076568932507,0.6159009859450388,0.43272271817779595,Nigeria,False,15031
