experiment,n,n_pos,thr,precision,recall,f1,pr_auc,roc_auc,mcc,brier,tn,fp,fn,tp,train_s,infer_s,country,prevalence,predicted_positive,prediction_rate,pr_auc_lift
site_balanced,2696,546,0.2787,0.802784222737819,0.6336996336996337,0.7082906857727738,0.7551712484988503,0.8988891728426613,0.6515529206477001,0.09163157764207484,2065,85,200,346,,,Libya,0.20252225519287834,431,0.15986646884272998,3.728830926653664
site_balanced,436887,772,0.2787,0.7478260869565218,0.33419689119170987,0.4619516562220233,0.3977481513841976,0.9147501915612767,0.499378323740455,0.0012810979109890218,436028,87,514,258,,,Nigeria,0.0017670473142940852,345,0.000789677880092564,225.09196452563205
sqrt_country_site,10163,1039,0.2884,0.7633587786259542,0.5774783445620789,0.6575342465753424,0.7165198465368713,0.9107936044463217,0.6318071419227396,0.05082000368154226,8938,186,439,600,,,Algeria,0.10223359244317623,786,0.07733936829676277,7.008653705826971
sqrt_country_site,970253,32,0.2884,0.25806451612903225,0.25,0.25396825396825395,0.1452857431138132,0.9359791802589308,0.25397603785647743,3.8033216615718194e-05,970198,23,24,8,,,Angola,3.2981088437757986e-05,31,3.195042942407805e-05,4405.122753543957
sqrt_country_site,183558,376,0.2884,0.26433915211970077,0.28191489361702127,0.2728442728442728,0.1797558548675253,0.9199316247972891,0.27144472246375423,0.0020347016361508255,182887,295,270,106,,,Indonesia,0.0020483988712014733,401,0.002184595604659018,87.75432236109896
sqrt_country_site,30598,741,0.2884,0.6869220607661823,0.7017543859649122,0.6942590120160214,0.6881325955148754,0.939445590332361,0.6866291175750471,0.011068455004207702,29620,237,221,520,,,Iraq,0.024217269102555724,757,0.024740179096672987,28.414954328696567
sqrt_country_site,2696,546,0.2884,0.8064516129032258,0.6410256410256411,0.7142857142857143,0.7505126635833849,0.9085058352500213,0.6582472337735131,0.08976115042886985,2066,84,196,350,,,Libya,0.20252225519287834,434,0.1609792284866469,3.7058280971077027
sqrt_country_site,436887,772,0.2884,0.7046153846153846,0.2966321243523316,0.41750227894257064,0.36398650300352897,0.9117095427900578,0.4566046151135666,0.0013349542218957725,436019,96,543,229,,,Nigeria,0.0017670473142940852,325,0.000743899452261111,205.98571416800877
equal_country_site,10163,1039,0.3522,0.7884362680683311,0.5774783445620789,0.6666666666666666,0.7260166820872367,0.9152203687911901,0.6444008811081641,0.04991930910824701,8963,161,439,600,,,Algeria,0.10223359244317623,761,0.07487946472498277,7.101547199280641
equal_country_site,970253,32,0.3522,0.16326530612244897,0.25,0.19753086419753085,0.08614063863181588,0.8971742971446712,0.20199812864672223,5.523496076943079e-05,970180,41,24,8,,,Angola,3.2981088437757986e-05,49,5.050229167031692e-05,2611.8191579511017
equal_country_site,183558,376,0.3522,0.2719546742209632,0.2553191489361702,0.26337448559670784,0.15502683897109995,0.9179627365134129,0.262041254615313,0.002137569023816791,182925,257,280,96,,,Indonesia,0.0020483988712014733,353,0.001923097876420532,75.68195879749246
equal_country_site,30598,741,0.3522,0.7164383561643836,0.7058029689608637,0.7110808973487424,0.6852691383774071,0.9399231252415643,0.7039860218558036,0.011012969672803614,29650,207,218,523,,,Iraq,0.024217269102555724,730,0.023857768481600105,28.296714029786642
equal_country_site,2696,546,0.3522,0.8126463700234192,0.6355311355311355,0.7132579650565262,0.7685354285323991,0.9076616406848966,0.6585961941506797,0.08784667264003652,2070,80,199,347,,,Libya,0.20252225519287834,427,0.1583827893175074,3.794819625134337
equal_country_site,436887,772,0.3522,0.6195652173913043,0.22150259067357514,0.32633587786259544,0.29639405377972444,0.8861453451545407,0.36983991597530935,0.0014242579189990268,436010,105,601,171,,,Nigeria,0.0017670473142940852,276,0.0006317423040740512,167.73407898142807
