experiment,n,n_pos,thr,precision,recall,f1,pr_auc,roc_auc,mcc,brier,tn,fp,fn,tp,train_s,infer_s,country,prevalence,predicted_positive,prediction_rate,pr_auc_lift
site_balanced,2696,546,0.2509,0.7904328018223234,0.6355311355311355,0.7045685279187818,0.7561761355622152,0.8986446886446886,0.6451817412399965,0.09019827005094128,2058,92,199,347,,,Libya,0.20252225519287834,439,0.16283382789317508,3.73379278658559
site_balanced,436887,772,0.2509,0.7387640449438202,0.34067357512953367,0.46631205673758863,0.388129184834315,0.9176986639985805,0.5011216109766619,0.001286091336966871,436022,93,509,263,,,Nigeria,0.0017670473142940852,356,0.0008148560153998631,219.64843934547847
sqrt_country_site,10163,1039,0.2724,0.7493857493857494,0.5871029836381135,0.6583917970858068,0.7183029067414167,0.9120035409895276,0.6303148499751802,0.05063566209499678,8920,204,429,610,,,Algeria,0.10223359244317623,814,0.08009446029715635,7.02609474611455
sqrt_country_site,970253,32,0.2724,0.25806451612903225,0.25,0.25396825396825395,0.08738855890516192,0.9512707993848825,0.25397603785647743,3.9376592100257953e-05,970198,23,24,8,,,Angola,3.2981088437757986e-05,31,3.195042942407805e-05,2649.6566076065646
sqrt_country_site,183558,376,0.2724,0.23820224719101124,0.28191489361702127,0.2582216808769793,0.18043350080512477,0.9184937599555099,0.25748589300363467,0.002075750907884033,182843,339,270,106,,,Indonesia,0.0020483988712014733,445,0.0024243018555442967,88.08513973613587
sqrt_country_site,30598,741,0.2724,0.6768837803320562,0.7152496626180836,0.6955380577427821,0.704383337339511,0.9428311840194445,0.6880431187462231,0.011036782085904537,29604,253,211,530,,,Iraq,0.024217269102555724,783,0.025589907837113537,29.08599373267794
sqrt_country_site,2696,546,0.2724,0.7871396895787139,0.6501831501831502,0.7121364092276831,0.7749352445536437,0.9124925462134765,0.6520129138540284,0.08748477375511234,2054,96,191,355,,,Libya,0.20252225519287834,451,0.16728486646884272,3.8264201818985777
sqrt_country_site,436887,772,0.2724,0.6845070422535211,0.31476683937823835,0.43123336291038156,0.36586710867891453,0.9148912599050055,0.4635765277562106,0.0013252429748172418,436003,112,529,243,,,Nigeria,0.0017670473142940852,355,0.0008125670940082905,207.04997863912556
equal_country_site,10163,1039,0.2406,0.7456037514654161,0.6121270452358036,0.6723044397463002,0.7312905275007096,0.9177621849154352,0.6428092269646121,0.0498587115980644,8907,217,403,636,,,Algeria,0.10223359244317623,853,0.08393190986913313,7.1531334273240725
equal_country_site,970253,32,0.2406,0.08695652173913043,0.25,0.12903225806451613,0.06618582224374343,0.8849909582455955,0.14739545276513416,5.603353486262475e-05,970137,84,24,8,,,Angola,3.2981088437757986e-05,92,9.482062925855422e-05,2006.7810184205875
equal_country_site,183558,376,0.2406,0.2475442043222004,0.3351063829787234,0.2847457627118644,0.16587456202977813,0.9111368457646005,0.28632369067963837,0.0021238219898077498,182799,383,250,126,,,Indonesia,0.0020483988712014733,509,0.002772965493195611,80.97766717303726
equal_country_site,30598,741,0.2406,0.6810673443456162,0.7233468286099866,0.7015706806282722,0.7097835983821714,0.943089726346055,0.6942664842056939,0.010787909413949337,29606,251,205,536,,,Iraq,0.024217269102555724,787,0.025720635335642852,29.308985888390932
equal_country_site,2696,546,0.2406,0.7878787878787878,0.6666666666666666,0.7222222222222222,0.7858712471036513,0.9097538120793935,0.6623754223854253,0.08483946038109888,2052,98,182,364,,,Libya,0.20252225519287834,462,0.17136498516320475,3.8804191981528278
equal_country_site,436887,772,0.2406,0.5480769230769231,0.29533678756476683,0.3838383838383838,0.2976629640333538,0.8904529774464703,0.40157621280243516,0.001417050143373239,435927,188,544,228,,,Nigeria,0.0017670473142940852,416,0.0009521912988942221,168.45217534668373
